# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14826655,SwampMarsh,128724.59601173972,0.058377388080547994,False,128650,1m
14828845,SwampMarsh,4917172.361080592,0.11623220342533849,False,4916536,1m
14292999,SwampMarsh,564960.8569027333,0.664978014979662,True,557823,1m
14425910,SwampMarsh,51470.376405386196,0.022008371890169902,False,51500,1m
14299993,SwampMarsh,430712.7365732634,0.4419898736516215,False,430239,1m
14828179,SwampMarsh,558854.2563629649,0.4192666281467849,False,558586,1m
14828507,SwampMarsh,1036323.5364452024,0.1628125653253673,False,1038073,1m
14679344,SwampMarsh,141138.46889190315,0.0,True,141011,1m
14300029,SwampMarsh,647932.7618991849,0.0,True,647269,1m
21529428,SwampMarsh,531346.2519391815,0.47269887384294745,False,531631,1m
14292989,SwampMarsh,128084.34703949373,0.24794286387160322,False,127916,1m
14679040,SwampMarsh,424462.7282100303,1.284955172026648e-05,False,426976,1m
14438860,SwampMarsh,160293.24441072127,0.07224988726368282,False,160219,1m
14677896,SwampMarsh,260166.97622167694,1.6326588926430725,False,261930,1m
14425912,SwampMarsh,238089.18587863527,0.009874749742558605,False,238161,1m
14438730,SwampMarsh,190879.58473079576,0.21859187486237522,False,190736,1m
14293059,SwampMarsh,1290977.9358626625,1.5275712108917535e-07,False,1289370,1m
14292939,SwampMarsh,258994.71855939506,0.000542907693613474,False,258742,1m
14828281,SwampMarsh,707451.2547775055,0.1514886528693922,False,704644,1m
14679126,SwampMarsh,263437.53849202674,2.2377501189657529e-07,False,263206,1m
14747034,SwampMarsh,1353357.9828593817,0.08244471117230283,False,1352398,1m
14825613,SwampMarsh,101417.74832763539,0.19054846512485446,False,101358,1m
14432161,SwampMarsh,498913.29601986066,0.037136373351352926,False,498439,1m
14825925,SwampMarsh,381089.7905766835,0.11887340340803183,False,380909,1m
14684932,SwampMarsh,578200.7875069716,9.544200280324311e-05,False,577746,1m
14826605,SwampMarsh,101609.19320257255,0.5159247616679306,False,101539,1m
14678052,SwampMarsh,611354.1438017433,0.00019102251015556046,False,610703,1m
21541422,SwampMarsh,288886.4319817798,0.06689959721940533,False,285973,1m
21541456,SwampMarsh,261923.3124380982,0.5801867361440533,False,259293,1m
14746988,SwampMarsh,479849.45334660396,1.4573150947611083e-08,False,479548,1m
14825859,SwampMarsh,52341.76353690119,0.008671728424581481,False,52559,1m
14432147,SwampMarsh,51078.61932460345,0.0925565703196951,False,51033,1m
14425924,SwampMarsh,179856.75659140214,0.027707218188597782,False,179851,1m
14827335,SwampMarsh,399236.6014119489,0.041015625,True,399118,1m
14826145,SwampMarsh,261003.77685404508,0.07379359801357444,False,260858,1m
14678976,SwampMarsh,261458.40049623116,1.0788930653051575e-06,False,261193,1m
14438802,SwampMarsh,101033.23612657913,0.0,True,100944,1m
