range,std,n_unique,flat,COMID,FTYPE,n_cells,resolution
4.865020751953125,0.4015403337380869,3745,False,14299959,SwampMarsh,268032,1m
1.521026611328125,0.2159513153866565,1395,False,14825913,SwampMarsh,104576,1m
1.11199951171875,0.11311235030772604,1045,False,21542754,SwampMarsh,1383529,1m
6.488983154296875,0.6420495819319536,5184,False,14293027,SwampMarsh,331599,1m
10.302001953125,1.6633369734990424,9366,False,14273932,SwampMarsh,371690,1m
5.39703369140625,0.4077599470634655,2221,False,14677964,SwampMarsh,163178,1m
8.957000732421875,0.365646738238792,6428,False,14828513,SwampMarsh,2293836,1m
0.156005859375,0.0015921938789040457,33,False,14677902,SwampMarsh,72609,1m
10.0350341796875,1.5938838554954935,9047,False,14685158,SwampMarsh,355365,1m
0.0,0.0,1,True,14439656,SwampMarsh,515660,1m
2.410003662109375,0.33213008454260645,2246,False,14828387,SwampMarsh,522069,1m
0.0,0.0,1,True,14439642,SwampMarsh,548414,1m
1.839996337890625,0.3092809812427585,1735,False,14293665,SwampMarsh,346042,1m
3.25799560546875,0.3216004796096291,2753,False,14678002,SwampMarsh,325815,1m
0.739990234375,0.0850178237121119,530,False,14826007,SwampMarsh,106288,1m
2.77001953125,0.24930687841495341,1804,False,14300007,SwampMarsh,272005,1m
0.70501708984375,0.09807771072467837,578,False,14824713,SwampMarsh,133233,1m
0.0,0.0,1,True,14678088,SwampMarsh,263638,1m
2.0269775390625,0.1462321526816929,1482,False,14677962,SwampMarsh,127239,1m
4.0059814453125,0.26722834078623925,2767,False,14293657,SwampMarsh,203498,1m
3.27301025390625,0.2948499785608587,3190,False,14273900,SwampMarsh,1015439,1m
2.837005615234375,0.19876260231371531,2562,False,14432151,SwampMarsh,1624949,1m
3.69000244140625,0.614305843969191,3629,False,14300043,SwampMarsh,450290,1m
1.510009765625,0.12306014040465901,1036,False,14432157,SwampMarsh,491459,1m
1.488006591796875,0.2896523828096396,1425,False,14411671,SwampMarsh,301335,1m
0.0,0.0,1,True,21542836,SwampMarsh,316489,1m
10.1309814453125,0.42448646362155135,4633,False,14680186,SwampMarsh,585159,1m
0.430023193359375,0.004084293604012212,181,False,14824701,SwampMarsh,769907,1m
2.37799072265625,0.34192731233555934,2000,False,14825945,SwampMarsh,59838,1m
1.082977294921875,0.1807402572866838,1003,False,14425898,SwampMarsh,160050,1m
6.264007568359375,0.661516283277056,5606,False,14438734,SwampMarsh,507407,1m
3.573974609375,0.4787194597661565,3229,False,14292807,SwampMarsh,424695,1m
1.6300048828125,0.0553881800278688,1050,False,14824853,SwampMarsh,847633,1m
0.0,0.0,1,True,14293561,SwampMarsh,175377,1m
5.3599853515625,0.3917997423087764,4278,False,6690553,SwampMarsh,852691,1m
1.131011962890625,0.047604129296891264,781,False,14293643,SwampMarsh,242465,1m
9.23297119140625,1.4984964525837996,7447,False,14273988,SwampMarsh,371384,1m
1.3599853515625,0.12418673386790867,992,False,14826521,SwampMarsh,113139,1m
0.71600341796875,0.036488426960833056,409,False,14253407,LakePond,57813,1m
0.72698974609375,0.06374233026197317,550,False,14174385,LakePond,85339,1m
1.010986328125,0.08197401876268645,639,False,14679438,LakePond,29984,1m
0.38494873046875,0.007861090600266114,235,False,14747798,LakePond,223508,1m
1.44500732421875,0.23888566745197382,1228,False,14297565,LakePond,41268,1m
0.805999755859375,0.19160570828859555,691,False,14299217,LakePond,13386,1m
0.438995361328125,0.020769900599662564,211,False,6677124,LakePond,56735,1m
0.1829833984375,0.002206843913589325,11,False,11439745,LakePond,20296,1m
1.25201416015625,0.039080367193593875,256,False,11439859,LakePond,29974,1m
0.0,0.0,1,True,11453024,LakePond,39325,1m
2.25201416015625,0.07680890992362407,464,False,14411995,LakePond,62943,1m
1.7919921875,0.0529619591568513,454,False,21536206,LakePond,55010,1m
0.5460205078125,0.03510566726449814,309,False,11436857,LakePond,15421,1m
1.430023193359375,0.2122528161869914,1237,False,11499978,LakePond,29447,1m
1.03704833984375,0.2004741159535118,844,False,11497160,LakePond,15024,1m
1.96099853515625,0.25329213941449513,1468,False,14251505,LakePond,42871,1m
5.11505126953125,0.6867870059390767,4343,False,11501196,LakePond,124072,1m
1.239990234375,0.2284646531999054,1176,False,14294415,LakePond,21440,1m
1.510986328125,0.25097606113542975,1129,False,14274052,LakePond,20725,1m
1.201995849609375,0.16374989127951547,1018,False,11473238,LakePond,21532,1m
5.532958984375,0.34555666928151696,2217,False,11445137,LakePond,89046,1m
0.0,0.0,1,True,12575238,LakePond,22464,1m
1.33099365234375,0.3169119149138574,1169,False,14298669,LakePond,13292,1m
0.454986572265625,0.07923306653600772,407,False,14411947,LakePond,28901,1m
0.42401123046875,0.0033762662250579265,85,False,14677988,LakePond,181580,1m
0.0,0.0,1,True,14684436,LakePond,85378,1m
0.628021240234375,0.08626664633439624,543,False,14296485,LakePond,18244,1m
3.10198974609375,0.32366738219973407,2291,False,14160236,LakePond,89773,1m
0.10504150390625,0.0004911726934104459,15,False,14745824,LakePond,107297,1m
1.173980712890625,0.18961136466301606,944,False,6674728,LakePond,16649,1m
