# Hollister/lakeMorpho terrain-slope max-depth prototype over an ND LakePond sample (issue #173 Task 6). Project=ND_3DEPProcessing_D22. n_sampled=300, n_usable=300. max_depth_m = lake_max_depth() (mean shoreline-ring slope x max in-polygon distance-to-shore, over the polygon interior via _interior_mask). mean_depth_m = max_to_mean(max_depth_m, shape='cone') = max_depth_m / 3 -- documented assumption (V/A of a cone), NOT field-calibrated in this spike; no bathymetry survey was available to fit the factor empirically. Cross-check: NHM's calibrated dprst_depth_avg median is ~49 in (docs/superpowers/... nhm_dprst_params_are_calibrated) -- compare against mean_depth_in below, but this spike does not block on matching it.
COMID,FTYPE,area_km2,max_depth_m,mean_depth_m,mean_depth_in,n_interior_cells,resolution
14520337,LakePond,0.0403182530029575,4.917404069533318,1.6391346898444392,64.53289665264455,40027,1m
14745904,LakePond,0.03148268308104177,0.0,0.0,0.0,31384,1m
12572666,LakePond,0.04269656802924328,1.6863093821374846,0.5621031273791615,22.130056335230325,42647,1m
14252495,LakePond,0.013950340664702899,1.5082652410444186,0.5027550803481395,19.793517788814288,13950,1m
14747570,LakePond,0.024394292905475196,2.0536624750655195,0.6845541583551731,26.950965669859,24400,1m
14747542,LakePond,0.01865912509373547,2.1424743345545783,0.7141581115181928,28.1164762662824,18660,1m
14297693,LakePond,0.026309888623192654,2.5949609216545224,0.8649869738848408,34.05462366054357,26309,1m
14747810,LakePond,0.0410477925621975,4.174237639219261,1.3914125464064204,54.78005109327541,41006,1m
11445081,LakePond,0.05925870018538305,6.484498260132558,2.1614994200441857,85.09844831708159,59305,1m
14156146,LakePond,0.034348318626091175,3.46652962460018,1.1555098748667265,45.49253932449051,34774,1m
14184152,LakePond,0.0726716979960545,5.5038687992189335,1.8346229330729777,72.22928833737645,72586,1m
11440171,LakePond,0.013145598115863156,2.52465739071958,0.8415524635731934,33.13200464612298,13134,1m
14583825,LakePond,0.013780127808130701,1.8927836830193951,0.6309278943397983,24.839694292947296,13599,1m
14824823,LakePond,0.050919330697830084,1.7589409121416784,0.5863136373805594,23.083226535036363,50878,1m
14294523,LakePond,0.03754646046052916,0.9652606307277445,0.3217535435759148,12.667469185938122,37527,1m
11500464,LakePond,0.07429420263440355,0.17955095507829488,0.05985031835943162,2.356313018842659,73808,1m
14825733,LakePond,0.03883388781474166,1.0777630398842646,0.3592543466280882,14.143879552182495,38812,1m
14289253,LakePond,0.038033420277264876,2.377710437038391,0.7925701456794636,31.20356589241505,37995,1m
11462238,LakePond,0.028546264748551188,2.540670991208103,0.846890330402701,33.34215699698738,28519,1m
14279728,LakePond,0.04303287411284413,3.432503398237957,1.1441677994126522,45.04600067965606,42995,1m
14683788,LakePond,0.05039894642921611,7.869848417171611,2.6232828057238704,103.27890638962936,50356,1m
14827245,LakePond,0.030871374671398402,2.3046149137589396,0.7682049712529798,30.244306538726942,30867,1m
11461158,LakePond,0.004379516690400763,0.8202744660449518,0.2734248220149839,10.764762585212118,4378,1m
11497620,LakePond,0.1134238888080841,0.0,0.0,0.0,113320,1m
14157354,LakePond,0.06782256051976113,0.0,0.0,0.0,67713,1m
21541592,LakePond,0.06630148191700873,4.894874143816116,1.631624714605372,64.23722817648496,66220,1m
12568188,LakePond,0.15297940170239135,4.521794515311838,1.5072648384372793,59.34116741575953,152833,1m
14172381,LakePond,0.020665911975064833,3.3519328876840753,1.1173109625613584,43.98864432713694,20641,1m
14158894,LakePond,0.07601773445350316,0.0,0.0,0.0,75895,1m
14828207,LakePond,0.028184732014897053,0.0,0.0,0.0,28075,1m
11494374,LakePond,0.10214846626584129,3.488263370945745,1.162754456981915,45.77775924682369,102797,1m
14143137,LakePond,0.02486415957049475,2.3519273043683713,0.7839757681227904,30.86520438857107,24867,1m
14143247,LakePond,0.04951930444409332,3.117518610251548,1.0391728700838492,40.91233981248815,49500,1m
14299413,LakePond,0.024398576285446498,1.0794380437295241,0.35981268124317467,14.16586124181191,24400,1m
14290187,LakePond,0.02425976057246126,2.1327140246554066,0.7109046748851355,27.988388140695275,24226,1m
21535924,LakePond,0.032450169019158176,3.208369654518414,1.0694565515061378,42.1046113784518,32408,1m
14746294,LakePond,0.2053554123084681,0.003476303484384305,0.0011587678281281015,0.045620805270186165,205206,1m
14413959,LakePond,0.08928684477446448,0.8004275803319938,0.2668091934439979,10.504304626809542,87986,1m
6675334,LakePond,0.09171291992703001,5.9559344333002215,1.9853114777667404,78.16191141082435,91704,1m
11461504,LakePond,0.017496718500124905,0.0,0.0,0.0,17484,1m
14683596,LakePond,0.024599560079011137,3.8265110433585283,1.2755036811195093,50.21670747604319,24577,1m
21535886,LakePond,0.02971275716913697,4.358819807219157,1.4529399357397188,57.202390564066306,29676,1m
14294461,LakePond,0.011720482714071414,1.901598167344112,0.6338660557813707,24.95537000271814,11718,1m
11456728,LakePond,0.08805524283319453,3.7084509811095256,1.2361503270365084,48.66736199046004,88005,1m
21541148,LakePond,0.009594279934038216,3.1875191936523626,1.0625063978841207,41.83098313533762,9585,1m
14289447,LakePond,0.02348948792291985,2.0405002369863,0.6801667456621,26.778232793391442,23471,1m
14295381,LakePond,0.01892880558561495,0.7159879126761417,0.2386626375587139,9.396171906950322,18919,1m
14683580,LakePond,0.4269181452485729,0.0,0.0,0.0,426539,1m
14686154,LakePond,0.05785784732093922,3.31958250581787,1.10652750193929,43.56409840410004,57804,1m
14293417,LakePond,0.01906676628755222,2.0448133261660995,0.6816044420553664,26.83483504416398,19045,1m
14666267,LakePond,0.014807694449126005,4.220109066298198,1.4067030220993992,55.38203865035556,14807,1m
